Latitude,Longitude,Year,Area(Hectares),Production(Tonnes),Season_Kharif,Season_Rabi,Crop_Barley,Crop_Maize,Crop_Rice,Crop_Wheat,Rain,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Humidity,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Sunlight,Sunlight_1,Sunlight_2,Sunlight_3,Sunlight_4,Sunlight_5,Temperature,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,AESR_0,AESR_1,AESR_2,AESR_3,AESR,Crop_Yield_3,Crop_Yield_2,Crop_Yield_1,Crop_Yield
29.9880774,77.50812995,1982,83800,138400,1,0,0,0,1,0,0.0240309480577707,0.00048050657,0.011840383,0.011035763,0.0003887117,0.00028558448,323.0504684448242,46.380684,66.16481,85.512115,67.36512,57.62774,82528443.0,21085048.0,15821463.0,13097903.0,17368302.0,15155727.0,1521.5065612792969,308.18243,305.81534,302.86154,303.81854,300.8287,0,0,0,1,9.1,1.10298103,1.654425612,1.256467942,1.651551313
29.9880774,77.50812995,1982,177900,388400,0,1,0,0,0,1,0.0120659060776233,2.2687018e-06,0.0027107783,0.0025396533,0.0049557798,2.2668391e-05,343.8294868469238,59.56061,75.36885,70.867065,70.118416,61.172993,64009050.0,11917796.0,10477963.0,12919787.0,16180067.0,12571680.0,1456.574188232422,290.68634,288.99756,289.18185,293.41623,295.90485,0,0,0,1,9.1,1.60530504,1.792612137,1.739934712,2.183249016
29.9880774,77.50812995,1982,27100,26600,1,0,0,1,0,0,0.0240309480577707,0.00048050657,0.011840383,0.011035763,0.0003887117,0.00028558448,323.0504684448242,46.380684,66.16481,85.512115,67.36512,57.62774,82528443.0,21085048.0,15821463.0,13097903.0,17368302.0,15155727.0,1521.5065612792969,308.18243,305.81534,302.86154,303.81854,300.8287,0,0,0,1,9.1,0.827586207,0.854651163,1.003448276,0.981549815
29.9880774,77.50812995,1982,1000,1600,0,1,1,0,0,0,0.0120659060776233,2.2687018e-06,0.0027107783,0.0025396533,0.0049557798,2.2668391e-05,343.8294868469238,59.56061,75.36885,70.867065,70.118416,61.172993,64009050.0,11917796.0,10477963.0,12919787.0,16180067.0,12571680.0,1456.574188232422,290.68634,288.99756,289.18185,293.41623,295.90485,0,0,0,1,9.1,1.25,1.545454545,0.866666667,1.6
29.9880774,77.50812995,1983,85300,163400,1,0,0,0,1,0,0.0342711564153432,0.0014381185,0.01412165,0.014942136,0.0033839382,0.00038531423,356.85596466064453,46.140625,78.86708,85.70763,83.335464,62.80517,76396965.0,20994636.0,14539430.0,11789796.0,13674582.0,15398521.0,1517.1324157714844,307.8544,304.05045,302.7556,302.21255,300.2594,0,0,0,1,9.1,1.654425612,1.256467942,1.651551313,1.915592028
29.9880774,77.50812995,1983,190900,420000,0,1,0,0,0,1,0.0070104040205478,0.0006652288,0.0038372464,0.0009825453,0.001502715,1.3601035e-05,319.8145751953125,63.38429,72.77396,69.69026,52.793076,62.326283,65051336.0,10606979.0,11096630.0,13723005.0,17053042.0,13406729.0,1462.2614135742188,290.81186,289.03497,290.4758,296.03394,295.89417,0,0,0,1,9.1,1.792612137,1.739934712,2.183249016,2.200104767
29.9880774,77.50812995,1983,30500,36900,1,0,0,1,0,0,0.0342711564153432,0.0014381185,0.01412165,0.014942136,0.0033839382,0.00038531423,356.85596466064453,46.140625,78.86708,85.70763,83.335464,62.80517,76396965.0,20994636.0,14539430.0,11789796.0,13674582.0,15398521.0,1517.1324157714844,307.8544,304.05045,302.7556,302.21255,300.2594,0,0,0,1,9.1,0.854651163,1.003448276,0.981549815,1.209836066
29.9880774,77.50812995,1983,800,1400,0,1,1,0,0,0,0.0070104040205478,0.0006652288,0.0038372464,0.0009825453,0.001502715,1.3601035e-05,319.8145751953125,63.38429,72.77396,69.69026,52.793076,62.326283,65051336.0,10606979.0,11096630.0,13723005.0,17053042.0,13406729.0,1462.2614135742188,290.81186,289.03497,290.4758,296.03394,295.89417,0,0,0,1,9.1,1.545454545,0.866666667,1.6,1.75
29.9880774,77.50812995,1984,100000,208900,1,0,0,0,1,0,0.0294128376990556,0.0046430007,0.010215277,0.009975024,0.0045795366,0.0,367.82336807250977,65.280045,81.876526,84.68179,79.84714,56.137867,76180582.0,18177616.0,14756827.0,11549033.0,15567156.0,16129950.0,1514.9945678710938,306.5422,303.1896,302.63855,301.41672,301.2075,0,0,0,1,9.1,1.256467942,1.651551313,1.915592028,2.089
29.9880774,77.50812995,1984,196900,432400,0,1,0,0,0,1,0.0078229531645774,0.0005825013,0.0011480004,0.0058023334,0.00027651712,2.8334558e-05,308.3942756652832,65.66612,68.34764,61.224964,50.829266,57.08203,69401313.0,11165033.0,12130791.0,14219768.0,18478992.0,13316655.0,1465.7702331542969,291.42566,288.97266,290.06763,299.41013,295.77667,0,0,0,1,9.1,1.739934712,2.183249016,2.200104767,2.196038598
